Código,Fundo,Data,Cota,Variação,Captação,Resgate,PL,Cotistas
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,27/09/2018,"1,94912523","-0,02%","R$ 0,00","R$ 0,00","R$ 1.092.046,09",1
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,26/09/2018,"1,94957229","0,01%","R$ 0,00","R$ 1.909.295,48","R$ 1.092.296,56",1
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,25/09/2018,"1,94943552","0,01%","R$ 0,00","R$ 0,00","R$ 3.001.381,47",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,24/09/2018,"1,94926787","0,01%","R$ 0,00","R$ 0,00","R$ 3.001.123,36",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,21/09/2018,"1,94910034","0,01%","R$ 0,00","R$ 0,00","R$ 3.000.865,43",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,20/09/2018,"1,94893297","0,01%","R$ 0,00","R$ 0,00","R$ 3.000.607,74",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,19/09/2018,"1,94876569","0,01%","R$ 0,00","R$ 0,00","R$ 3.000.350,20",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,18/09/2018,"1,94861412","0,01%","R$ 0,00","R$ 0,00","R$ 3.000.116,83",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,17/09/2018,"1,94846578","0,01%","R$ 0,00","R$ 5.000,00","R$ 2.999.888,45",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,14/09/2018,"1,94832217","0,01%","R$ 0,00","R$ 0,00","R$ 3.004.666,98",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,13/09/2018,"1,94818291","0,01%","R$ 0,00","R$ 0,00","R$ 3.004.452,21",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,12/09/2018,"1,94804512","0,01%","R$ 0,00","R$ 0,00","R$ 3.004.239,72",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,11/09/2018,"1,94790579","0,01%","R$ 0,00","R$ 0,00","R$ 3.004.024,84",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,10/09/2018,"1,94777272","0,01%","R$ 0,00","R$ 0,00","R$ 3.003.819,62",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,06/09/2018,"1,9476368","0,01%","R$ 0,00","R$ 0,00","R$ 3.003.610,01",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,05/09/2018,"1,94750003","0,01%","R$ 0,00","R$ 0,00","R$ 3.003.399,08",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,04/09/2018,"1,94736181","0,01%","R$ 0,00","R$ 0,00","R$ 3.003.185,92",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,03/09/2018,"1,94722839","-0,02%","R$ 1.907.000,00","R$ 0,00","R$ 3.002.980,16",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,31/08/2018,"1,94766634","-0,02%","R$ 0,00","R$ 0,00","R$ 1.096.226,66",1
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,30/08/2018,"1,94798772","0,02%","R$ 0,00","R$ 3.910.112,62","R$ 1.096.407,55",1
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,29/08/2018,"1,9476888","0,02%","R$ 0,00","R$ 0,00","R$ 5.005.751,93",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,28/08/2018,"1,94738998","0,02%","R$ 0,00","R$ 0,00","R$ 5.004.983,91",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,27/08/2018,"1,94709055","0,02%","R$ 0,00","R$ 0,00","R$ 5.004.214,35",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,24/08/2018,"1,9467927","0,02%","R$ 0,00","R$ 0,00","R$ 5.003.448,86",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,23/08/2018,"1,94649381","0,02%","R$ 0,00","R$ 0,00","R$ 5.002.680,67",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,22/08/2018,"1,9461952","0,02%","R$ 0,00","R$ 0,00","R$ 5.001.913,23",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,21/08/2018,"1,94589677","0,02%","R$ 0,00","R$ 0,00","R$ 5.001.146,23",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,20/08/2018,"1,94559831","0,01%","R$ 0,00","R$ 0,00","R$ 5.000.379,14",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,17/08/2018,"1,94530939","0,01%","R$ 0,00","R$ 0,00","R$ 4.999.636,60",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,16/08/2018,"1,94502058","0,01%","R$ 0,00","R$ 0,00","R$ 4.998.894,32",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,15/08/2018,"1,9447341","0,01%","R$ 0,00","R$ 0,00","R$ 4.998.158,04",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,14/08/2018,"1,94445068","0,01%","R$ 0,00","R$ 0,00","R$ 4.997.429,63",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,13/08/2018,"1,94416558","0,02%","R$ 0,00","R$ 0,00","R$ 4.996.696,90",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,10/08/2018,"1,94383154","0,02%","R$ 0,00","R$ 0,00","R$ 4.995.838,38",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,09/08/2018,"1,94349744","0,02%","R$ 0,00","R$ 0,00","R$ 4.994.979,70",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,08/08/2018,"1,94316909","0,02%","R$ 1.000.000,00","R$ 50.000,00","R$ 4.994.135,82",3
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,07/08/2018,"1,94287405","-0,01%","R$ 2.900.000,00","R$ 0,00","R$ 4.043.521,78",2
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,06/08/2018,"1,94297756","-0,01%","R$ 0,00","R$ 0,00","R$ 1.143.582,69",1
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,03/08/2018,"1,94308116","-0,01%","R$ 0,00","R$ 0,00","R$ 1.143.643,67",1
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,02/08/2018,"1,94318927","-0,01%","R$ 0,00","R$ 0,00","R$ 1.143.707,30",1
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,01/08/2018,"1,94328941","-0,01%","R$ 0,00","R$ 0,00","R$ 1.143.766,24",1
16689,101 AGGREGA FUNDO DE INVESTIMENTO RENDA FIXA CAIXA CRÉDITO PRIVADO,31/07/2018,"1,94338969","-0,03%","R$ 0,00","R$ 0,00","R$ 1.143.825,26",1
