Código,Fundo,Data,Cota,Variação,Captação,Resgate,PL,Cotistas
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,27/09/2018,"3,4069383","1,50%","R$ 0,00","R$ 0,00","R$ 13.828.285,51",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,26/09/2018,"3,3564659","0,11%","R$ 0,00","R$ 0,00","R$ 13.623.425,12",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,25/09/2018,"3,352638","-0,10%","R$ 0,00","R$ 0,00","R$ 13.607.888,27",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,24/09/2018,"3,3559605","-1,34%","R$ 0,00","R$ 0,00","R$ 13.621.373,77",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,21/09/2018,"3,4016722","1,79%","R$ 0,00","R$ 0,00","R$ 13.806.911,13",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,20/09/2018,"3,3417945","0,31%","R$ 0,00","R$ 0,00","R$ 13.563.876,06",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,19/09/2018,"3,3315427","-0,68%","R$ 0,00","R$ 0,00","R$ 13.522.265,66",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,18/09/2018,"3,3543961","1,22%","R$ 0,00","R$ 0,00","R$ 13.615.024,29",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,17/09/2018,"3,3141091","1,83%","R$ 0,00","R$ 0,00","R$ 13.451.505,09",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,14/09/2018,"3,2544501","0,62%","R$ 0,00","R$ 0,00","R$ 13.209.357,29",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,13/09/2018,"3,2343736","-0,81%","R$ 0,00","R$ 0,00","R$ 13.127.869,79",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,12/09/2018,"3,260847","0,34%","R$ 0,00","R$ 0,00","R$ 13.235.321,50",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,11/09/2018,"3,2498869","-1,81%","R$ 0,00","R$ 0,00","R$ 13.190.835,93",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,10/09/2018,"3,3098181","-0,31%","R$ 0,00","R$ 0,00","R$ 13.434.088,30",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,06/09/2018,"3,3200534","0,83%","R$ 0,00","R$ 0,00","R$ 13.475.632,12",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,05/09/2018,"3,2926879","0,46%","R$ 0,00","R$ 0,00","R$ 13.364.559,46",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,04/09/2018,"3,2777085","-1,76%","R$ 0,00","R$ 0,00","R$ 13.303.760,19",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,03/09/2018,"3,3363807","-0,12%","R$ 0,00","R$ 0,00","R$ 13.541.902,27",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,31/08/2018,"3,3404019","0,34%","R$ 0,00","R$ 0,00","R$ 13.558.223,68",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,30/08/2018,"3,3289656","-2,28%","R$ 0,00","R$ 0,00","R$ 13.511.805,24",5
33293,1421 FUNDO DE INVESTIMENTO DE AÇÕES INVESTIMENTO NO EXTERIOR,29/08/2018,"3,4065668","0,74%","R$ 0,00","R$ 0,00","R$ 13.826.777,75",5
