timeseries,model,params,MSE
"ts01-m2","ARIMA","(0, 1, 1)",0.332823454,
"ts01-m2","MLP","{'n_input': 12, 'n_nodes': 10, 'n_epochs': 500, 'n_batch': 10, 'n_layers': 4}",0.008704757,

"ts01-m","ARIMA","(0, 1, 1)",0.340893877,
"ts01-m","MLP","{'n_input': 12, 'n_nodes': 10, 'n_epochs': 250, 'n_batch': 5, 'n_layers': 4}",0.018927397,

"ts02-m2","ARIMA","(1, 2, 1)",0.007278537,
"ts02-m2","MLP","{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 200, 'n_layers': 6}",0.000049325,

"ts02-m","ARIMA","(0, 2, 0)",0.007359544,
"ts02-m","MLP","{'n_input': 12, 'n_nodes': 5, 'n_epochs': 500, 'n_batch': 200, 'n_layers': 2}",0.000048778,

"ts03-m2","ARIMA","(1, 0, 1)",0.051826287,
"ts03-m2","MLP","{'n_input': 12, 'n_nodes': 10, 'n_epochs': 50, 'n_batch': 200, 'n_layers': 4}",0.015812797,

"ts03-m","ARIMA","(1, 0, 0)",0.048550232,
"ts03-m","MLP","{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 200, 'n_layers': 6}",0.046138138,
