params,MSE,status
"(0, 0, 0)",0.16094999884997876,SUCESSO
"(0, 0, 1)",0.04430705911506973,SUCESSO
"(0, 0, 2)",,FALHA
"(0, 0, 3)",,FALHA
"(0, 0, 4)",,FALHA
"(0, 1, 0)",0.0014141889566645948,SUCESSO
"(0, 1, 1)",0.0012578934370040267,SUCESSO
"(0, 1, 2)",0.0013316400492554194,SUCESSO
"(0, 1, 3)",0.0013399044651439334,SUCESSO
"(0, 1, 4)",0.0013409372067200768,SUCESSO
"(0, 2, 0)",0.002221826790716193,SUCESSO
"(0, 2, 1)",0.0016973382365373427,SUCESSO
"(0, 2, 2)",0.0013122711448721321,SUCESSO
"(0, 2, 3)",,FALHA
"(0, 2, 4)",,FALHA
"(0, 3, 0)",,FALHA
"(0, 3, 1)",,FALHA
"(0, 3, 2)",,FALHA
"(0, 3, 3)",,FALHA
"(0, 3, 4)",,FALHA
"(0, 4, 0)",,FALHA
"(0, 4, 1)",,FALHA
"(0, 4, 2)",,FALHA
"(0, 4, 3)",,FALHA
"(0, 4, 4)",,FALHA
"(1, 0, 0)",0.0014688675486555407,SUCESSO
"(1, 0, 1)",0.0013045055043848298,SUCESSO
"(1, 0, 2)",0.0013808437384870724,SUCESSO
"(1, 0, 3)",0.0013905628682800023,SUCESSO
"(1, 0, 4)",0.0013914818240837962,SUCESSO
"(1, 1, 0)",0.0013527014753651773,SUCESSO
"(1, 1, 1)",0.0013474289489901125,SUCESSO
"(1, 1, 2)",0.0013363113697270966,SUCESSO
"(1, 1, 3)",,FALHA
"(1, 1, 4)",,FALHA
"(1, 2, 0)",0.0020780349829369288,SUCESSO
"(1, 2, 1)",0.0013840412860670866,SUCESSO
"(1, 2, 2)",0.0013809716112501223,SUCESSO
"(1, 2, 3)",,FALHA
"(1, 2, 4)",,FALHA
"(1, 3, 0)",,FALHA
"(1, 3, 1)",,FALHA
"(1, 3, 2)",,FALHA
"(1, 3, 3)",,FALHA
"(1, 3, 4)",,FALHA
"(1, 4, 0)",,FALHA
"(1, 4, 1)",,FALHA
"(1, 4, 2)",,FALHA
"(1, 4, 3)",,FALHA
"(1, 4, 4)",,FALHA
"(2, 0, 0)",0.0013998296150508041,SUCESSO
"(2, 0, 1)",0.0014062116095426385,SUCESSO
"(2, 0, 2)",0.001387366332460973,SUCESSO
"(2, 0, 3)",,FALHA
"(2, 0, 4)",,FALHA
"(2, 1, 0)",0.0013492855712161679,SUCESSO
"(2, 1, 1)",0.0013412058844197907,SUCESSO
"(2, 1, 2)",0.0013444639241777154,SUCESSO
"(2, 1, 3)",0.001348877468117257,SUCESSO
"(2, 1, 4)",0.001486724750990265,SUCESSO
"(2, 2, 0)",0.0017341648140141068,SUCESSO
"(2, 2, 1)",,FALHA
"(2, 2, 2)",,FALHA
"(2, 2, 3)",,FALHA
"(2, 2, 4)",,FALHA
"(2, 3, 0)",,FALHA
"(2, 3, 1)",,FALHA
"(2, 3, 2)",,FALHA
"(2, 3, 3)",,FALHA
"(2, 3, 4)",,FALHA
"(2, 4, 0)",,FALHA
"(2, 4, 1)",,FALHA
"(2, 4, 2)",,FALHA
"(2, 4, 3)",,FALHA
"(2, 4, 4)",,FALHA
"(3, 0, 0)",0.001404798391966809,SUCESSO
"(3, 0, 1)",0.0013928673537708556,SUCESSO
"(3, 0, 2)",0.001392831528246317,SUCESSO
"(3, 0, 3)",,FALHA
"(3, 0, 4)",,FALHA
"(3, 1, 0)",0.0013329042189101656,SUCESSO
"(3, 1, 1)",,FALHA
"(3, 1, 2)",,FALHA
"(3, 1, 3)",,FALHA
"(3, 1, 4)",,FALHA
"(3, 2, 0)",0.0016523744093855967,SUCESSO
"(3, 2, 1)",,FALHA
"(3, 2, 2)",,FALHA
"(3, 2, 3)",,FALHA
"(3, 2, 4)",,FALHA
"(3, 3, 0)",,FALHA
"(3, 3, 1)",,FALHA
"(3, 3, 2)",,FALHA
"(3, 3, 3)",,FALHA
"(3, 3, 4)",,FALHA
"(3, 4, 0)",,FALHA
"(3, 4, 1)",,FALHA
"(3, 4, 2)",,FALHA
"(3, 4, 3)",,FALHA
"(3, 4, 4)",,FALHA
"(4, 0, 0)",0.0013827927006653253,SUCESSO
"(4, 0, 1)",0.0013834413271484383,SUCESSO
"(4, 0, 2)",,FALHA
"(4, 0, 3)",,FALHA
"(4, 0, 4)",,FALHA
"(4, 1, 0)",0.0013377906299890674,SUCESSO
"(4, 1, 1)",0.0013492582179768992,SUCESSO
"(4, 1, 2)",,FALHA
"(4, 1, 3)",,FALHA
