params,MSE,status
"(0, 0, 0)",0.02971628844951834,SUCESSO
"(0, 0, 1)",0.008296059381536318,SUCESSO
"(0, 0, 2)",,FALHA
"(0, 0, 3)",,FALHA
"(0, 1, 0)",0.0018942799658373626,SUCESSO
"(0, 1, 1)",0.0017984591118307403,SUCESSO
"(0, 1, 2)",0.0034304380597131473,SUCESSO
"(0, 1, 3)",0.003713871203958001,SUCESSO
"(0, 2, 0)",0.0023016450834612533,SUCESSO
"(0, 2, 1)",0.0017417396369252373,SUCESSO
"(0, 2, 2)",0.001740284278879523,SUCESSO
"(0, 2, 3)",,FALHA
"(0, 3, 0)",,FALHA
"(0, 3, 1)",,FALHA
"(0, 3, 2)",,FALHA
"(0, 3, 3)",,FALHA
"(1, 0, 0)",0.0012795243704300284,SUCESSO
"(1, 0, 1)",0.001444457147726578,SUCESSO
"(1, 0, 2)",,FALHA
"(1, 0, 3)",,FALHA
"(1, 1, 0)",0.001877568548124018,SUCESSO
"(1, 1, 1)",,FALHA
"(1, 1, 2)",,FALHA
"(1, 1, 3)",,FALHA
"(1, 2, 0)",0.0021667032158103026,SUCESSO
"(1, 2, 1)",,FALHA
"(1, 2, 2)",,FALHA
"(1, 2, 3)",,FALHA
"(1, 3, 0)",,FALHA
"(1, 3, 1)",,FALHA
"(1, 3, 2)",,FALHA
"(1, 3, 3)",,FALHA
"(2, 0, 0)",0.0013824761499550199,SUCESSO
"(2, 0, 1)",0.0015638427942232134,SUCESSO
"(2, 0, 2)",,FALHA
"(2, 0, 3)",,FALHA
"(2, 1, 0)",0.0023306073972133873,SUCESSO
"(2, 1, 1)",0.0032622146562438126,SUCESSO
"(2, 1, 2)",,FALHA
"(2, 1, 3)",,FALHA
"(2, 2, 0)",0.00214030769378807,SUCESSO
"(2, 2, 1)",,FALHA
"(2, 2, 2)",,FALHA
"(2, 2, 3)",,FALHA
"(2, 3, 0)",,FALHA
"(2, 3, 1)",,FALHA
"(2, 3, 2)",,FALHA
"(2, 3, 3)",,FALHA
"(3, 0, 0)",,FALHA
"(3, 0, 1)",,FALHA
"(3, 0, 2)",,FALHA
"(3, 0, 3)",,FALHA
"(3, 1, 0)",0.0024757860357104058,SUCESSO
"(3, 1, 1)",,FALHA
"(3, 1, 2)",,FALHA
"(3, 1, 3)",,FALHA
"(3, 2, 0)",0.0021331417526664854,SUCESSO
"(3, 2, 1)",0.0022375944572610123,SUCESSO
"(3, 2, 2)",,FALHA
"(3, 2, 3)",,FALHA
"(3, 3, 0)",,FALHA
"(3, 3, 1)",,FALHA
"(3, 3, 2)",,FALHA
"(3, 3, 3)",,FALHA
"(4, 0, 0)",0.0016564946093676146,SUCESSO
"(4, 0, 1)",0.0017647752031473309,SUCESSO
"(4, 0, 2)",,FALHA
"(4, 0, 3)",,FALHA
"(4, 1, 0)",0.0028144893647259537,SUCESSO
"(4, 1, 1)",,FALHA
"(4, 1, 2)",0.002670711547807412,SUCESSO
"(4, 1, 3)",,FALHA
"(4, 2, 0)",0.0023304430380394463,SUCESSO
"(4, 2, 1)",0.0024003387496771547,SUCESSO
"(4, 2, 2)",,FALHA
"(4, 2, 3)",,FALHA
"(4, 3, 0)",,FALHA
"(4, 3, 1)",,FALHA
"(4, 3, 2)",,FALHA
"(4, 3, 3)",,FALHA
"(5, 0, 0)",0.001701360289573057,SUCESSO
"(5, 0, 1)",0.0018321723046853641,SUCESSO
"(5, 0, 2)",,FALHA
"(5, 0, 3)",,FALHA
"(5, 1, 0)",0.0028420941771551034,SUCESSO
"(5, 1, 1)",,FALHA
"(5, 1, 2)",,FALHA
"(5, 1, 3)",,FALHA
"(5, 2, 0)",0.001906580426056266,SUCESSO
"(5, 2, 1)",0.0022072630206122204,SUCESSO
"(5, 2, 2)",,FALHA
"(5, 2, 3)",,FALHA
"(5, 3, 0)",,FALHA
"(5, 3, 1)",,FALHA
"(5, 3, 2)",,FALHA
"(5, 3, 3)",,FALHA
"(6, 0, 0)",0.0019186905283522346,SUCESSO
"(6, 0, 1)",,FALHA
"(6, 0, 2)",,FALHA
"(6, 0, 3)",,FALHA
"(6, 1, 0)",0.002608833446844473,SUCESSO
"(6, 1, 1)",0.0026441168274322917,SUCESSO
"(6, 1, 2)",,FALHA
"(6, 1, 3)",,FALHA
"(6, 2, 0)",,FALHA
"(6, 2, 1)",0.0023789397742973875,SUCESSO
"(6, 2, 2)",,FALHA
"(6, 2, 3)",,FALHA
"(6, 3, 0)",,FALHA
"(6, 3, 1)",,FALHA
"(6, 3, 2)",,FALHA
"(6, 3, 3)",,FALHA
