params,MSE
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 5, 'n_layers': 2}",0.10105980932712555
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 5, 'n_layers': 4}",7.898889064788818
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 5, 'n_layers': 6}",0.1256551295518875
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 10, 'n_layers': 2}",0.37081289291381836
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 10, 'n_layers': 4}",0.2824172079563141
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 10, 'n_layers': 6}",0.36820030212402344
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 50, 'n_layers': 2}",2.345231533050537
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 50, 'n_layers': 4}",4.544370651245117
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 50, 'n_layers': 6}",7.083312034606934
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 100, 'n_layers': 2}",8.500328063964844
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 100, 'n_layers': 4}",12.537158966064453
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 100, 'n_layers': 6}",5.016569137573242
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 150, 'n_layers': 2}",12.309207916259766
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 150, 'n_layers': 4}",0.05653661489486694
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 150, 'n_layers': 6}",12.309285163879395
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 200, 'n_layers': 2}",7.405259132385254
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 200, 'n_layers': 4}",7.555489540100098
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 50, 'n_batch': 200, 'n_layers': 6}",10.261677742004395
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 5, 'n_layers': 2}",0.294645756483078
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 5, 'n_layers': 4}",0.12508225440979004
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 5, 'n_layers': 6}",0.0857178345322609
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 10, 'n_layers': 2}",0.3206714391708374
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 10, 'n_layers': 4}",0.10728354007005692
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 10, 'n_layers': 6}",6.229721546173096
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 50, 'n_layers': 2}",12.052643775939941
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 50, 'n_layers': 4}",1.7636611461639404
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 50, 'n_layers': 6}",11.964393615722656
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 100, 'n_layers': 2}",11.963369369506836
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 100, 'n_layers': 4}",11.966257095336914
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 100, 'n_layers': 6}",10.935001373291016
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 150, 'n_layers': 2}",12.126546859741211
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 150, 'n_layers': 4}",11.96436882019043
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 150, 'n_layers': 6}",11.96450424194336
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 200, 'n_layers': 2}",0.11671832203865051
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 200, 'n_layers': 4}",0.2440999448299408
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 100, 'n_batch': 200, 'n_layers': 6}",0.04613813757896423
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 5, 'n_layers': 2}",0.16152586042881012
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 5, 'n_layers': 4}",0.0895121768116951
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 5, 'n_layers': 6}",0.0747843086719513
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 10, 'n_layers': 2}",0.15080639719963074
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 10, 'n_layers': 4}",0.12427502870559692
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 10, 'n_layers': 6}",0.14126241207122803
"{'n_input': 12, 'n_nodes': 5, 'n_epochs': 250, 'n_batch': 50, 'n_layers': 2}",0.16434341669082642
