params,MSE,status
"(0, 0, 0)",0.0268520278001429,SUCESSO
"(0, 0, 1)",0.006742028597745069,SUCESSO
"(0, 0, 2)",,FALHA
"(0, 0, 3)",,FALHA
"(0, 1, 0)",0.00084183122041115,SUCESSO
"(0, 1, 1)",0.0006295898406712394,SUCESSO
"(0, 1, 2)",0.0007021057361756912,SUCESSO
"(0, 1, 3)",0.000752743503446625,SUCESSO
"(0, 2, 0)",0.0007809450981658907,SUCESSO
"(0, 2, 1)",0.0009190698283376538,SUCESSO
"(0, 2, 2)",0.0007080741159127985,SUCESSO
"(0, 2, 3)",0.0006972521843218129,SUCESSO
"(0, 3, 0)",,FALHA
"(0, 3, 1)",,FALHA
"(0, 3, 2)",,FALHA
"(0, 3, 3)",,FALHA
"(1, 0, 0)",0.0006777241861711282,SUCESSO
"(1, 0, 1)",0.000518768924288486,SUCESSO
"(1, 0, 2)",0.000650759490710624,SUCESSO
"(1, 0, 3)",0.0006891795783560014,SUCESSO
"(1, 1, 0)",0.0006621196067678897,SUCESSO
"(1, 1, 1)",0.0006564658674303123,SUCESSO
"(1, 1, 2)",,FALHA
"(1, 1, 3)",,FALHA
"(1, 2, 0)",0.0008856353531037878,SUCESSO
"(1, 2, 1)",0.0006539560521018892,SUCESSO
"(1, 2, 2)",,FALHA
"(1, 2, 3)",,FALHA
"(1, 3, 0)",,FALHA
"(1, 3, 1)",,FALHA
"(1, 3, 2)",,FALHA
"(1, 3, 3)",,FALHA
"(2, 0, 0)",0.0005733517902087366,SUCESSO
"(2, 0, 1)",0.0005798502702061522,SUCESSO
"(2, 0, 2)",0.0006819669066978377,SUCESSO
"(2, 0, 3)",,FALHA
"(2, 1, 0)",0.0006523154162403427,SUCESSO
"(2, 1, 1)",0.0008298666974128517,SUCESSO
"(2, 1, 2)",0.0007729078639712544,SUCESSO
"(2, 1, 3)",,FALHA
"(2, 2, 0)",0.0008459251128616059,SUCESSO
"(2, 2, 1)",0.000641127230652817,SUCESSO
"(2, 2, 2)",,FALHA
"(2, 2, 3)",,FALHA
"(2, 3, 0)",,FALHA
"(2, 3, 1)",,FALHA
"(2, 3, 2)",,FALHA
"(2, 3, 3)",,FALHA
"(3, 0, 0)",0.0005831754785393527,SUCESSO
"(3, 0, 1)",,FALHA
"(3, 0, 2)",,FALHA
"(3, 0, 3)",0.0005697267147395121,SUCESSO
"(3, 1, 0)",0.0007175688728143459,SUCESSO
"(3, 1, 1)",0.00098518347470727,SUCESSO
"(3, 1, 2)",0.0006958049754909987,SUCESSO
"(3, 1, 3)",,FALHA
"(3, 2, 0)",0.0007250194613933545,SUCESSO
"(3, 2, 1)",0.0006915282249410692,SUCESSO
"(3, 2, 2)",,FALHA
"(3, 2, 3)",,FALHA
"(3, 3, 0)",,FALHA
"(3, 3, 1)",,FALHA
"(3, 3, 2)",,FALHA
"(3, 3, 3)",,FALHA
"(4, 0, 0)",0.0006177850835739067,SUCESSO
"(4, 0, 1)",,FALHA
"(4, 0, 2)",,FALHA
"(4, 0, 3)",,FALHA
"(4, 1, 0)",0.0008230775559918553,SUCESSO
"(4, 1, 1)",0.0008232828126368083,SUCESSO
"(4, 1, 2)",0.0007236002691709075,SUCESSO
"(4, 1, 3)",,FALHA
"(4, 2, 0)",0.0007729094698693902,SUCESSO
"(4, 2, 1)",,FALHA
"(4, 2, 2)",,FALHA
"(4, 2, 3)",,FALHA
"(4, 3, 0)",,FALHA
"(4, 3, 1)",,FALHA
"(4, 3, 2)",,FALHA
"(4, 3, 3)",,FALHA
"(5, 0, 0)",,FALHA
"(5, 0, 1)",,FALHA
"(5, 0, 2)",0.0006604722123461949,SUCESSO
"(5, 0, 3)",,FALHA
"(5, 1, 0)",0.0008212627487720748,SUCESSO
"(5, 1, 1)",,FALHA
"(5, 1, 2)",,FALHA
"(5, 1, 3)",,FALHA
"(5, 2, 0)",0.0008084821652849058,SUCESSO
"(5, 2, 1)",0.0007943240441569918,SUCESSO
"(5, 2, 2)",,FALHA
"(5, 2, 3)",,FALHA
"(5, 3, 0)",,FALHA
"(5, 3, 1)",,FALHA
"(5, 3, 2)",,FALHA
"(5, 3, 3)",,FALHA
"(6, 0, 0)",0.000689157056157462,SUCESSO
"(6, 0, 1)",0.00073393946308428,SUCESSO
"(6, 0, 2)",,FALHA
"(6, 0, 3)",,FALHA
"(6, 1, 0)",0.000830793038847087,SUCESSO
"(6, 1, 1)",,FALHA
"(6, 1, 2)",,FALHA
"(6, 1, 3)",,FALHA
"(6, 2, 0)",0.0008170084000408851,SUCESSO
"(6, 2, 1)",,FALHA
"(6, 2, 2)",,FALHA
"(6, 2, 3)",,FALHA
"(6, 3, 0)",,FALHA
"(6, 3, 1)",,FALHA
"(6, 3, 2)",,FALHA
"(6, 3, 3)",,FALHA
